DVDRef	DVDNumber	BroodRef	BroodName	NestboxRef	NestboxName	OffspringNo	Age	DVDdate	DVDtime	Weather	Wind	SocialDadID	SocialMumID	SocialDadID.2009to11frommyDBparents	SocialMumID.2009to11frommyDBparents	changedfromDB
NA	VI0000	1128	I060	41	LM1	2	8	11/08/2009	NA	NA	NA	3684	4034	3684	4034	AddedToDataSheet
NA	VI9999	1126	I058	144	W5	1	8	01/08/2009	NA	NA	NA	2605	4084	2605	4084	AddedToDataSheet
NA	VI9998	1120	I052	19	F7	3	10	22/07/2009	NA	NA	NA	3496	3050	3496	3050	AddedToDataSheet
NA	VI9997	1121	I053	133	W21	2	4	22/07/2009	NA	NA	NA	4072	4085	4072	4085	AddedToDataSheet
NA	VI9996	1121	I053	133	W21	2	5	23/07/2009	NA	NA	NA	4072	4085	4072	4085	AddedToDataSheet
NA	VI9995	1124	I056	136	W24	2	8	30/07/2009	NA	NA	NA	4039	4511	4039	4511	AddedToDataSheet
NA	VI9994	1125	I057	124	W14	4	8	31/07/2009	NA	NA	NA	3359	3302	3359	3302	AddedToDataSheet
2511	VK0001	1202	K002	17	F5	3	8	04/05/2011	07:33	0	2	4907	4854	4907	4854	NA
2346	VK0002	1201	K001	13	F2	3	6	04/05/2011	10:15	1	2	4098	4744	4098	4744	NA
2512	VK0003	1203	K003	143	W4	2	6	04/05/2011	10:15	1	2	4757	4084	4757	4084	NA
2545	VK0004	1236	K037	139	W27	5	15	05/05/2011	06:52	3	2	NA	4733	NA	4733	NA
2513	VK0005	1207	K007	105	R2	1	6	05/05/2011	08:04	3	2	4929	5025	5647	5025	NA
2514	VK0006	1205	K005	47	LM23	5	6	05/05/2011	14:50	3	2	4071	4078	4071	4078	NA
2515	VK0007	1204	K004	113	S1	4	6	05/05/2011	17:02	1	1	4735	4585	4735	4585	NA
2546	VK0008	1202	K002	17	F5	3	10	06/05/2011	06:11	3	2	4907	4854	4907	4854	NA
2547	VK0009	1201	K001	13	F2	3	8	06/05/2011	06:22	3	2	4098	4744	4098	4744	NA
2516	VK0010	1211	K011	241	LM41	5	6	06/05/2011	07:30	3	2	4664	4619	4664	4619	NA
2517	VK0011	1235	K036	68	LM4	5	16	06/05/2011	15:05	2	1	4960	4873	4960	4873	NA
2518	VK0012	1356	K152	56	LM30	5	10	06/05/2011	15:16	2	2	4649	NA	4649	NA	NA
2519	VK0013	1244	K044	16	F4	4	10	06/05/2011	17:08	2	1	5623	4864	5623	4864	NA
2548	VK0014	1203	K003	143	W4	2	8	06/05/2011	17:23	1	1	4757	4084	4757	4084	NA
2549	VK0015	1204	K004	113	S1	4	8	07/05/2011	06:39	2	1	4735	4585	4735	4585	NA
2550	VK0016	1205	K005	47	LM23	5	8	07/05/2011	07:09	2	1	4071	4078	4071	4078	NA
2520	VK0017	1212	K012	41	LM19	4	6	07/05/2011	08:19	3	1	4895	4062	4895	4062	NA
2551	VK0018	1207	K007	105	R2	1	8	07/05/2011	12:40	1	2	4929	5025	5647	5025	NA
2521	VK0019	1214	K014	19	F7	3	6	08/05/2011	06:43	3	2	3764	4759	3764	4759	NA
2522	VK0020	1201	K001	13	F2	2	10	08/05/2011	06:51	3	2	4098	4744	4098	4744	NA
2523	VK0021	1203	K003	143	W4	2	10	08/05/2011	08:57	0	2	4757	4084	4757	4084	NA
2524	VK0022	1213	K013	140	W28	2	6	08/05/2011	09:04	0	2	4885	4982	4885	4982	NA
2552	VK0023	1211	K011	241	LM41	5	8	08/05/2011	09:41	0	3	4664	4619	4664	4619	NA
2525	VK0024	1202	K002	17	F5	3	12	08/05/2011	10:50	0	3	4907	4854	4907	4854	NA
2526	VK0025	1217	K017	136	W24	3	6	09/05/2011	06:20	0	3	4753	4049	4753	4049	NA
2527	VK0026	1204	K004	113	S1	4	10	09/05/2011	06:26	0	3	4735	4585	4735	4585	NA
2528	VK0027	1207	K007	105	R2	1	10	09/05/2011	08:05	1	3	4929	5025	5647	5025	NA
2529	VK0028	1216	K016	51	LM27	3	6	09/05/2011	08:16	1	3	4649	4967	4649	4967	NA
2530	VK0029	1215	K015	42	LM2	4	6	09/05/2011	12:01	3	3	4686	4739	4686	4739	NA
3198	VK0030	1212	K012	41	LM19	4	8	09/05/2011	12:15	4	3	4895	4062	4895	4062	NA
2531	VK0031	1211	K011	241	LM41	5	10	10/05/2011	10:59	0	3	4664	4619	4664	4619	NA
2553	VK0032	1214	K014	19	F7	3	8	10/05/2011	12:30	0	3	3764	4759	3764	4759	NA
2532	VK0034	1218	K018	146	W7	3	6	10/05/2011	14:38	1	3	4706	5017	4706	5017	NA
2554	VK0035	1215	K015	42	LM2	4	8	11/05/2011	07:13	1	2	4686	4739	4686	4739	NA
2555	VK0036	1216	K016	51	LM27	2	8	11/05/2011	07:19	1	2	4649	4967	4649	4967	NA
2533	VK0037	1225	K025	70	LM5	2	5	11/05/2011	08:16	1	1	4852	4863	4852	4863	NA
2534	VK0038	1224	K024	34	LM12	2	6	11/05/2011	08:19	1	1	4906	4927	4906	4927	NA
2535	VK0039	1212	K012	41	LM19	4	10	11/05/2011	08:28	1	1	4895	4062	4895	4062	NA
2536	VK0040	1223	K023	104	R1	3	6	11/05/2011	11:25	1	1	3496	4942	3496	4942	NA
2537	VK0041	1220	K020	119	W1	2	6	11/05/2011	10:03	0	1	4673	4972	4673	4972	NA
2538	VK0042	1230	K031	134	W22	4	6	11/05/2011	10:08	0	1	4722	4110	4722	4110	NA
2556	VK0043	1217	K017	136	W24	3	8	11/05/2011	14:35	0	1	4753	4049	4753	4049	NA
2539	VK0044	1221	K021	121	W11	3	6	11/05/2011	20:01	0	2	4109	4905	4109	4905	NA
2540	VK0045	1226	K027	72	LM7	3	6	12/05/2011	06:40	1	2	4996	4872	4996	4872	NA
2541	VK0046	1295	K029	62	LM36	4	6	12/05/2011	06:37	1	2	4998	4968	4998	4968	NA
2542	VK0047	1227	K028	54	LM29	4	6	12/05/2011	08:18	0	1	4768	4967	4768	5030	NA
2543	VK0048	1241	K042	83	ML7	2	6	12/05/2011	08:33	0	1	4070	4830	4070	4830	NA
2557	VK0049	1218	K018	146	W7	3	8	12/05/2011	10:00	0	1	4706	5017	4706	5017	NA
2544	VK0050	1229	K030	127	W17	2	6	12/05/2011	13:59	0	1	NA	4663	4512	4663	NA
2558	VK0051	1213	K013	140	W28	1	10	12/05/2011	15:32	0	1	4885	4982	4885	4982	NA
